snapshot,2035,2040,2045
2019-01-01 00:00:00,86.19714867243066,85.0846608911193,79.5202581322548
2019-01-01 01:00:00,82.44720704922105,83.09375544223296,78.22111795780286
2019-01-01 02:00:00,78.69726542601144,81.10284999334664,76.92197778335094
2019-01-01 03:00:00,74.94732380280183,79.1119445444603,75.622837608899
2019-01-01 04:00:00,72.89799631727746,76.68620121850216,73.51425665721598
2019-01-01 05:00:00,70.8486688317531,74.26045789254403,71.40567570553297
2019-01-01 06:00:00,68.79934134622873,71.83471456658589,69.29709475384995
2019-01-01 07:00:00,63.21710961381581,64.27414864326568,63.42553251447866
2019-01-01 08:00:00,57.634877881402886,56.713582719945464,57.55397027510737
2019-01-01 09:00:00,52.052646148989965,49.15301679662525,51.68240803573608
2019-01-01 10:00:00,52.21715237816085,48.77830587325621,51.210519052745944
2019-01-01 11:00:00,52.38165860733173,48.40359494988717,50.73863006975581
2019-01-01 12:00:00,52.54616483650261,48.02888402651813,50.26674108676567
2019-01-01 13:00:00,53.31384450111094,48.12651117972083,50.369151341832854
2019-01-01 14:00:00,54.08152416571928,48.22413833292353,50.471561596900045
2019-01-01 15:00:00,54.84920383032761,48.32176548612623,50.57397185196723
2019-01-01 16:00:00,54.86939405946186,48.52366000422814,50.62336739223909
2019-01-01 17:00:00,54.88958428859611,48.72555452233005,50.67276293251094
2019-01-01 18:00:00,54.90977451773036,48.92744904043196,50.7221584727828
2019-01-01 19:00:00,55.17410851839018,48.96328336354498,50.79063819003541
2019-01-01 20:00:00,55.43844251905,48.999117686657996,50.85911790728801
2019-01-01 21:00:00,55.702776519709815,49.03495200977102,50.92759762454062
2019-01-01 22:00:00,55.430932434375954,49.07205157236065,50.91593995984614
2019-01-01 23:00:00,55.1590883490421,49.10915113495029,50.90428229515167
2019-01-02 00:00:00,54.88724426370824,49.14625069753992,50.89262463045719
2019-01-02 01:00:00,55.110134425755,49.175625487801724,50.99547835503818
