snapshot,2020,2025,2030,2035,2040,2045
2019-01-01 00:00:00,47.712915813937634,64.39700971174933,55.37212736979077,62.76069025861785,65.62996174034227,80.38722108212376
2019-01-01 01:00:00,47.71189310331827,58.06033468219463,55.37212711654311,62.760690124312475,65.6299617051444,80.3872210821195
2019-01-01 02:00:00,47.7108703926989,51.72365965263993,55.37212686329545,62.76068999000711,65.62996166994654,80.38722108211523
2019-01-01 03:00:00,47.709847682079534,45.386984623085226,55.37212661004779,62.760689855701735,65.62996163474867,80.38722108211097
2019-01-01 04:00:00,31.815280461488985,39.43537677980567,55.37212659963892,62.760689804073884,65.62996162365624,80.38722108210843
2019-01-01 05:00:00,15.920713240898436,33.48376893652612,55.37212658923004,62.760689752446034,65.6299616125638,80.38722108210587
2019-01-01 06:00:00,0.02614602030788186,27.53216109324656,55.37212657882117,62.76068970081818,65.62996160147138,80.38722108210332
2019-01-01 07:00:00,0.026146218420468704,18.366834590988056,36.929717363445796,41.858668573434954,43.7749559835201,53.61671825470892
2019-01-01 08:00:00,0.026146416533055546,9.201508088729554,18.487308148070426,20.956647446051726,21.919950365568823,26.84621542731452
2019-01-01 09:00:00,0.02614661464564239,0.03618158647104777,0.04489893269505227,0.05462631866849549,0.06494474761754868,0.07571259992011978
2019-01-01 10:00:00,0.026113777273103964,0.036181149431485676,0.044898963848645106,0.05462637320785212,0.06494478197374473,0.075712599919724
2019-01-01 11:00:00,0.02608093990056554,0.036180712391923574,0.04489899500223794,0.05462642774720875,0.0649448163299408,0.07571259991932822
2019-01-01 12:00:00,0.026048102528027115,0.03618027535236148,0.04489902615583078,0.054626482286565387,0.06494485068613685,0.07571259991893244
2019-01-01 13:00:00,0.0260554359642211,0.04332382267336439,0.04489928334687091,0.05462666213483032,0.06494493497689108,0.07571259992941082
2019-01-01 14:00:00,0.02606276940041509,0.0504673699943673,0.04489954053791104,0.054626841983095246,0.0649450192676453,0.0757125999398892
2019-01-01 15:00:00,0.026070102836609075,0.057610917315370214,0.04489979772895117,0.05462702183136018,0.06494510355839953,0.07571259995036758
2019-01-01 16:00:00,0.026008680450478806,0.050465375685746744,0.044899787310574764,0.054627031278971706,0.06494511773446518,0.07571259995009832
2019-01-01 17:00:00,0.025947258064348538,0.04331983405612327,0.04489977689219836,0.054627040726583226,0.06494513191053085,0.07571259994982908
2019-01-01 18:00:00,0.02588583567821827,0.0361742924264998,0.044899766473821955,0.05462705017419475,0.0649451460865965,0.07571259994955983
2019-01-01 19:00:00,0.02588535837064354,0.03617341256020592,0.044899848395261434,0.054627106501425625,0.06494515933874406,0.07571259995154506
2019-01-01 20:00:00,0.025884881063068816,0.03617253269391204,0.04489993031670091,0.05462716282865649,0.06494517259089161,0.07571259995353029
2019-01-01 21:00:00,0.025884403755494088,0.03617165282761816,0.04490001223814039,0.05462721915588736,0.06494518584303917,0.07571259995551552
2019-01-01 22:00:00,0.025878904521899677,0.03617137020350164,0.044900166230819015,0.05462730937933169,0.06494524234971626,0.0757125999616808
2019-01-01 23:00:00,0.025873405288305264,0.036171087579385114,0.044900320223497645,0.054627399602776024,0.06494529885639333,0.07571259996784606
2019-01-02 00:00:00,0.025867906054710853,0.036170804955268594,0.04490047421617627,0.05462748982622035,0.06494535536307042,0.07571259997401134
2019-01-02 01:00:00,0.025873435797282594,0.036172257506934286,0.04490235404824783,0.054628151418408724,0.06494591421807727,0.07571260001785549
2019-01-02 02:00:00,0.02587896553985434,0.03617371005859997,0.044904233880319395,0.0546288130105971,0.06494647307308414,0.07571260006169965
2019-01-02 03:00:00,0.02588449528242608,0.03617516261026566,0.044906113712390956,0.05462947460278547,0.064947031928091,0.0757126001055438
2019-01-02 04:00:00,15.381781713017931,9.201466575947025,0.044916042724016544,0.05463015466403945,0.06494764024814433,0.07571260013623861
2019-01-02 05:00:00,30.737678930753436,18.366757989283787,0.044925971735642126,0.05463083472529342,0.06494824856819766,0.0757126001669334
2019-01-02 06:00:00,46.09357614848894,27.532049402620544,0.044935900747267714,0.054631514786547396,0.06494885688825099,0.07571260019762821
2019-01-02 07:00:00,46.09361565880557,25.23536764704574,0.044935148401915,0.05463089340991508,0.06494836412955834,0.07571260015612166
2019-01-02 08:00:00,46.093655169122194,22.93868589147094,0.04493439605656229,0.054630272033282766,0.06494787137086569,0.0757126001146151
2019-01-02 09:00:00,46.09369467943882,20.642004135896133,0.04493364371120958,0.05462965065665045,0.06494737861217305,0.07571260007310855
2019-01-02 10:00:00,46.63293554426827,22.938688436110013,0.04502589752287582,0.05463195856592786,0.06495011191701158,0.07571260016489285
2019-01-02 11:00:00,47.172176409097716,25.235372736323896,0.045118151334542056,0.05463426647520528,0.06495284522185012,0.07571260025667716
2019-01-02 12:00:00,47.71141727392717,27.532057036537775,0.0452104051462083,0.05463657438448269,0.06495557852668865,0.07571260034846146
2019-01-02 13:00:00,47.7124483086341,49.38452363038626,32.8161510266133,38.810731338105874,27.980752139885656,30.002884654986993
2019-01-02 14:00:00,47.71347934334104,71.23699022423475,65.58709164808039,77.56682610182727,55.89654870124462,59.930056709625525
2019-01-02 15:00:00,47.714510378047976,93.08945681808324,98.35803226954748,116.32292086554867,83.81234526260359,89.85722876426406
2019-01-02 16:00:00,47.71480232426065,94.40950053477846,99.60904980995635,117.97249924364394,89.53080668048355,139.65209227303453
2019-01-02 17:00:00,47.71509427047332,95.72954425147368,100.8600673503652,119.6220776217392,95.2492680983635,189.446955781805
2019-01-02 18:00:00,47.715386216686,97.04958796816891,102.11108489077407,121.27165599983446,100.96772951624347,239.24181929057548
